id;city;lon;lat
010545488089;Norddorf auf Amrum;8,332935;54,679638
010545488094;Oevenum;8,530541;54,710109
010545488098;Oldsum;8,447735;54,732075
010545488129;S�derende;8,439339;54,725601
010545488143;Utersum;8,407243;54,714455
010545488158;Witsum;8,44106;54,698516
010545488160;Wittd�n auf Amrum;8,392971;54,626534
010545488163;Wrixum;8,549002;54,699012
010545488164;Wyk auf F�hr, Stadt;8,567212;54,691093
010545489001;Achtrup;9,028319;54,788981
010545489009;Aventoft;8,822142;54,901249
010545489016;Bosb�ll;8,860437;54,822786
010545489017;Braderup;8,890308;54,835624
010545489018;Bramstedtlund;9,08724;54,840025
010545489022;Dageb�ll;8,706381;54,730209
010545489027;Ellh�ft;8,957598;54,888824
010545489034;Friedrich-Wilhelm-L�bke-Koog;8,631939;54,862372
010545489048;Holm;8,860525;54,831367
010545489055;Humptrup;8,864538;54,863199
010545489062;Karlum;8,975269;54,828646
010545489065;Klanxb�ll;8,679546;54,864348
010545489068;Klixb�ll;8,882448;54,805242
010545489073;Ladelund;9,025311;54,84075
010545489076;Leck;8,974572;54,771914
010545489077;Lexgaard;8,943493;54,832022
010545489086;Neukirchen;8,73388;54,868905
010545489088;Nieb�ll, Stadt;8,829499;54,788141
010545489109;Risum-Lindholm;8,875515;54,761513
010545489110;Roden�s;8,70031;54,888387
010545489124;Sprakeb�ll;9,077168;54,775904
010545489125;Stadum;9,050473;54,736011
010545489126;Stedesand;8,925525;54,738139
010545489131;S�derl�gum;8,907944;54,872427
010545489136;Tinningstedt;8,929787;54,811247
010545489142;Uphusum;8,849901;54,841901
010545489154;Westre;8,987549;54,856605
010545489165;Galmsb�ll;8,732055;54,775694
010545489166;Emmelsb�ll-Horsb�ll;8,692601;54,811403
010545489167;Enge-Sande;8,98049;54,726675
010545492007;Arlewatt;9,083426;54,539223
010545492023;Drage;9,160731;54,354509
010545492026;Elisabeth-Sophien-Koog;8,879592;54,510068
010545492032;Fresendelf;9,248765;54,39338
010545492042;Hattstedt;9,02454;54,528049
010545492043;Hattstedtermarsch;8,964562;54,554793
010545492052;Horstedt;9,069038;54,525582
010545492054;Hude;9,215821;54,387212
010545492070;Koldenb�ttel;9,065906;54,384849
010545492084;Mildstedt;9,094038;54,463492
010545492091;Nordstrand;8,860249;54,484823
010545492096;Oldersbek;9,166728;54,446436
010545492097;Olderup;9,112117;54,538167
010545492099;Ostenfeld (Husum);9,230675;54,462866
010545492105;Ramstedt;9,167101;54,399905
010545492106;Rantrum;9,129606;54,44052
010545492116;Schwabstedt;9,185238;54,395651
010545492119;Seeth;9,163079;54,365824
010545492120;Simonsberg;8,97196;54,436567
010545492130;S�derh�ft;9,2423;54,381912
010545492132;S�dermarsch;9,08199;54,425929
010545492141;Uelvesb�ll;8,935322;54,415443
010545492156;Winnert;9,201381;54,433243
010545492157;Wisch;9,154149;54,408531
010545492159;Wittbek;9,204139;54,473433
010545492161;Witzwort;8,984464;54,399484
010545492162;Wobbenb�ll;8,992516;54,530418
010545494002;Ahrensh�ft;9,068097;54,559394
010545494006;Almdorf;9,015622;54,581075
010545494010;Bargum;8,947267;54,704209
010545494012;Bohmstedt;9,043841;54,581229
010545494014;Bordelum;8,924922;54,635913
010545494019;Bredstedt, Stadt;8,963468;54,618658
010545494020;Breklum;8,982127;54,605121
010545494024;Drelsdorf;9,041284;54,60599
010545494037;Goldebek;9,145818;54,678836
010545494038;Goldelund;9,107425;54,678411
010545494045;H�gel;9,056667;54,643538
010545494059;Joldelund;9,139662;54,652937
010545494071;Kolkerheide;9,130775;54,620407
010545494075;Langenhorn;8,933726;54,681709
010545494080;L�tjenholm;9,021561;54,684136
010545494093;Ockholm;8,827553;54,665128
010545494121;S�nneb�ll;8,995888;54,63119
010545494128;Struckum;8,996888;54,584711
010545494146;Vollstedt;9,032722;54,623717
010550001001;Ahrensb�k;10,573059;54,011094
010550004004;Bad Schwartau, Stadt;10,695909;53,920431
010550007007;Bosau;10,429901;54,104439
010550010010;Dahme;11,08163;54,223661
010550012012;Eutin, Stadt;10,614962;54,138933
010550016016;Gr�mitz;10,961258;54,149015
010550018018;Grube;11,03599;54,23209
010550021021;Heiligenhafen, Stadt;10,974623;54,373048
010550025025;Kellenhusen (Ostsee);11,060024;54,190749
010550028028;Malente;10,554871;54,171225
010550032032;Neustadt in Holstein, Stadt;10,818579;54,107322
010550033033;Oldenburg in Holstein, Stadt;10,88815;54,293241
010550035035;Ratekau;10,735075;53,947822
010550040040;Stockelsdorf;10,649799;53,889315
010550041041;S�sel;10,717998;54,076679
010550042042;Timmendorfer Strand;10,770247;53,99638
010550044044;Scharbeutz;10,750232;54,022793
010550046046;Fehmarn, Stadt;11,197614;54,4387
010555543014;G�hl;10,941851;54,284726
010555543015;Gremersdorf;10,927673;54,332831
010555543017;Gro�enbrode;11,08427;54,369696
010555543022;Heringsdorf;11,003697;54,300432
010555543031;Neukirchen;11,015153;54,323811
010555543043;Wangels;10,763598;54,271569
010555546006;Beschendorf;10,873043;54,182743
010555546011;Damlos;10,907708;54,243016
010555546020;Harmsdorf;10,828509;54,243787
010555546023;Kabelhorst;10,921118;54,215844
010555546027;Lensahn;10,883304;54,217545
010555546029;Manhagen;10,913686;54,194999
010555546036;Riepsdorf;10,969732;54,22536
010555591002;Altenkrempe;10,825665;54,13298
010555591024;Kasseedorf;10,72002;54,164947
010555591037;Schashagen;10,883528;54,134271
010555591038;Sch�nwalde am Bungsberg;10,753453;54,187361
010555591039;Sierksdorf;10,768366;54,066261
010560002002;Barmstedt, Stadt;9,768595;53,790385
010560005005;B�nningstedt;9,906267;53,662295
010560015015;Elmshorn, Stadt;9,655259;53,754958
010560018018;Halstenbek;9,837557;53,633617
010560021021;Hasloh;9,91173;53,694023
010560025025;Helgoland;7,887147;54,181561
010560039039;Pinneberg, Stadt;9,796428;53,661209
010560041041;Quickborn, Stadt;9,898034;53,728836
010560043043;Rellingen;9,829654;53,652131
010560044044;Schenefeld, Stadt;9,822462;53,600982
010560048048;Tornesch, Stadt;9,711965;53,697658
010560049049;Uetersen, Stadt;9,662396;53,684196
010560050050;Wedel, Stadt;9,697314;53,583806
010565616029;Klein Nordende;9,655072;53,725317
010565616030;Klein Offenseth-Sparrieshoop;9,683944;53,784835
010565616031;K�lln-Reisiek;9,697647;53,757477
010565616033;Seester;9,598071;53,717709
